id,code,name,short_name,type,district,established_year,nirf_rank,overall_rating,tuition_fee_annual,hostel_fee_annual,placement_percentage,highest_package_lpa,average_package_lpa,hostel_available,sources
ceg-guindy-0001,0001,"College of Engineering, Guindy (CEG), Anna University",CEG Anna University,Government,Chennai,1794,Rank 13 (Engineering),4.8,15000,38000,94.5,40.0,10.2,True,Calculated multi-factor composite (NIRF 2024 & AICTE Mandatory Disclosure)
mit-chromepet-0004,0004,"Madras Institute of Technology (MIT), Anna University",MIT Anna University,Government,Chennai,1949,Part of Anna University (NIRF 13),4.7,15000,37000,93.0,38.0,9.8,True,Calculated multi-factor composite (NIRF 2024 & AICTE Disclosure)
psg-tech-coimbatore-2006,2006,"PSG College of Technology, Peelamedu, Coimbatore",PSG Tech,Government Aided,Coimbatore,1951,Rank 63 (Engineering),4.8,35000,75000,95.2,42.0,11.4,True,Calculated multi-factor composite (NIRF 2024 & AICTE Disclosure)
ssn-chennai-1315,1315,"SSN College of Engineering, Kalavakkam, Chennai",SSN College of Engg,Private Autonomous,Chengalpattu,1996,Rank 45 (Engineering),4.7,55000,110000,94.0,45.0,10.5,True,Calculated multi-factor composite (NIRF 2024 & AICTE Disclosure)
cit-coimbatore-2007,2007,"Coimbatore Institute of Technology (CIT), Coimbatore",CIT Coimbatore,Government Aided,Coimbatore,1956,Rank 101-150 Band (Engineering),4.6,30000,65000,92.0,36.0,8.8,True,Calculated multi-factor composite (NIRF 2024 & AICTE Disclosure)
gct-coimbatore-2005,2005,"Government College of Technology (GCT), Coimbatore",GCT Coimbatore,Government,Coimbatore,1945,Rank 101-150 Band (Engineering),4.6,12000,32000,90.5,32.0,8.0,True,Calculated multi-factor composite (NIRF 2024 & AICTE Disclosure)
tce-madurai-5008,5008,"Thiagarajar College of Engineering (TCE), Madurai",TCE Madurai,Government Aided,Madurai,1957,Rank 85 (Engineering),4.7,32000,60000,93.0,35.0,9.2,True,Calculated multi-factor composite (NIRF 2024 & AICTE Disclosure)
kct-coimbatore-2712,2712,"Kumaraguru College of Technology (KCT), Coimbatore",KCT Coimbatore,Private Autonomous,Coimbatore,1984,Rank 101-150 Band (Engineering),4.6,55000,95000,91.5,32.0,7.5,True,Calculated multi-factor composite (NIRF 2024 & AICTE Disclosure)
cit-chennai-1114,1114,"Chennai Institute of Technology (CIT Chennai), Kundrathur",CIT Chennai,Private Autonomous,Chennai,2010,Rank 151-200 Band (Engineering),4.5,55000,85000,93.5,40.0,8.5,True,Calculated multi-factor composite (NIRF 2024 & AICTE Disclosure)
skcet-coimbatore-2718,2718,"Sri Krishna College of Engineering and Technology (SKCET), Coimbatore",SKCET Coimbatore,Private Autonomous,Coimbatore,1998,Rank 77 (Engineering),4.5,55000,85000,92.0,34.0,7.2,True,Calculated multi-factor composite (NIRF 2024 & AICTE Disclosure)
rec-chennai-1211,1211,"Rajalakshmi Engineering College (REC), Thandalam, Chennai",REC Chennai,Private Autonomous,Kanchipuram,1997,Rank 86 (Engineering),4.5,55000,88000,91.0,31.5,7.0,True,Calculated multi-factor composite (NIRF 2024 & AICTE Disclosure)
kongu-erode-2711,2711,"Kongu Engineering College, Perundurai, Erode",Kongu Engg College,Private Autonomous,Erode,1984,Rank 101-150 Band (Engineering),4.5,55000,75000,90.0,28.0,6.8,True,Calculated multi-factor composite (NIRF 2024 & AICTE Disclosure)
gce-salem-1013,1013,"Government College of Engineering, Salem",GCE Salem,Government,Salem,1966,Rank 151-200 Band (Engineering),4.4,12000,30000,86.0,24.0,6.5,True,Calculated multi-factor composite (NIRF 2024 & AICTE Disclosure)
gce-tirunelveli-4004,4004,"Government College of Engineering, Tirunelveli",GCE Tirunelveli,Government,Tirunelveli,1981,Rank 151-200 Band (Engineering),4.3,12000,29000,85.0,22.0,6.2,True,Calculated multi-factor composite (NIRF 2024 & AICTE Disclosure)
bannari-amman-2702,2702,Bannari Amman Institute of Technology,Bannari Amman Institute of Technology,Autonomous (Self-Financing),Erode,1996,Rank 101-150 Band (Engineering),4.4,87000,72000,92.0,42.0,6.8,True,Calculated multi-factor composite (NIRF 2024 & AICTE Mandatory Disclosure)
mepco-schlenk-4960,4960,Mepco Schlenk Engineering College,Mepco Schlenk Engineering College,Autonomous (Self-Financing),Virudhunagar,1984,Rank 101-150 Band (Engineering),4.3,85000,65000,90.0,27.0,6.4,True,Calculated multi-factor composite (NIRF 2024 & AICTE Mandatory Disclosure)
licet-chennai-1450,1450,Loyola-ICAM College of Engineering and Technology (LICET),LICET,Self-Financing,Chennai,2010,Information not available,4.1,85000,60000,88.0,18.0,5.8,True,Calculated multi-factor composite (AICTE Mandatory Disclosure)
rmk-engineering-1113,1113,R.M.K. Engineering College,RMK Engineering College,Autonomous (Self-Financing),Tiruvallur,1995,Rank 101-150 Band (Engineering),4.2,87000,70000,91.0,24.0,6.2,True,Calculated multi-factor composite (NIRF 2024 & AICTE Mandatory Disclosure)
